F_H,L_R,date_imaged,family_num,indv_num,sex,percent_cover_color,color_scale_area,background_area,wing_area
hind,left,2015xii11,164,0027,M,14.289068369646882,9.129,36.112,"63.888
"
hind,left,2015xii12,164,0046,M,19.32446081635078,13.01,32.676,"67.324
"
hind,left,2015xii12,164,0047,F,19.49194706241915,13.712,29.653,"70.34700000000001
"
hind,left,2015xii12,164,0048,M,22.341177658822343,13.272,40.594,"59.406
"
hind,left,2015xii16,164,0116,F,17.262506946324503,12.115,29.819,"70.181
"
hind,left,2015xii16,164,0117,F,14.422046800112772,10.231,29.06,"70.94
"
hind,left,2015xii16,164,0118,F,14.679157172194559,10.436,28.906,"71.094
"
hind,left,2015xii16,164,0120,M,14.590501476524615,10.771,26.178,"73.822
"
hind,left,2015xii17,164,0169,F,23.09837401861942,16.152,30.073,"69.92699999999999
"
hind,left,2015xii17,164,0170,F,17.329128143091676,12.033,30.562,"69.438
"
hind,left,2015xii17,164,0174,M,11.554291594020636,8.085,30.026,"69.974
"
hind,left,2015xii17,164,0177,F,11.494553257042252,8.357,27.296,"72.70400000000001
"
hind,left,2015xii17,164,0178,F,22.22285845167201,15.524,30.144,"69.856
"
hind,left,2015xii17,164,0180,F,9.362742311409242,6.588,29.636,"70.364
"
hind,left,2015xii17,164,0182,M,14.190699599834417,10.284,27.53,"72.47
"
hind,left,2015xii17,164,0183,F,23.672468266725787,17.083,27.836,"72.164
"
hind,left,2015xii17,164,0186,M,16.80472219515251,12.071,28.169,"71.831
"
hind,left,2015xii17,164,0188,F,16.979526944103533,12.175,28.296,"71.70400000000001
"
hind,left,2015xii17,164,0190,F,19.42760265509612,13.522,30.398,"69.602
"
hind,left,2015xii17,164,0192,M,15.036517053109266,10.603,29.485,"70.515
"
hind,left,2015xii17,164,0196,0,28.626023913562726,20.374,28.827,"71.173
"
hind,left,2015xii17,164,0198,F,15.224401479723598,10.906,28.365,"71.635
"
hind,left,2015xii17,164,0199,F,15.763560500695409,11.334,28.1,"71.9
"
hind,left,2015xii17,164,0202,M,23.465515743127774,16.202,30.954,"69.04599999999999
"
hind,left,2015xii17,164,0204,M,9.220054170582056,6.672,27.636,"72.364
"
hind,left,2015xii17,164,0205,M,34.66530054644809,25.375,26.8,"73.2
"
hind,left,2015xii17,164,0206,F,21.228882424441075,15.544,26.779,"73.221
"
hind,left,2015xii17,164,0208,F,9.650526315789474,6.876,28.75,"71.25
"
hind,left,2015xii17,164,0209,F,13.07949286672691,9.553,26.962,"73.038
"
hind,left,2015xii17,164,0210,M,17.592816931518566,12.344,29.835,"70.16499999999999
"
hind,left,2015xii17,164,0214,F,18.733108578752333,13.447,28.218,"71.782
"
hind,left,2015xii17,164,0215,F,11.989533168165242,8.614,28.154,"71.846
"
hind,left,2015xii17,164,0216,M,19.787099087173548,14.35,27.478,"72.52199999999999
"
hind,left,2015xii17,164,0217,F,24.824566175270636,18.254,26.468,"73.532
"
hind,left,2015xii17,164,0219,F,25.081013710012463,18.111,27.79,"72.21000000000001
"
hind,left,2015xii17,164,0220,M,26.653931961679227,18.279,31.421,"68.57900000000001
"
hind,left,2015xii17,164,0224,M,25.23538600438528,17.609,30.221,"69.779
"
hind,left,2015xii17,164,0232,F,12.101176073377976,8.602,28.916,"71.084
"
hind,left,2015xii17,164,0233,M,18.341384162351133,12.644,31.063,"68.937
"
hind,left,2015xii17,164,200,F,23.040581134960945,16.874,26.764,"73.236
"
hind,left,2015xii18,164,0235,M,12.715080610643458,8.912,29.91,"70.09
"
hind,left,2015xii18,164,0238,M,15.35095690101072,10.981,28.467,"71.533
"
hind,left,2015xii18,164,0239,M,20.263763270321633,14.182,30.013,"69.987
"
hind,left,2015xii18,164,0242,F,22.505913554583902,15.699,30.245,"69.755
"
hind,left,2015xii18,164,0244,M,16.478397743621887,11.568,29.799,"70.201
"
hind,left,2015xii18,164,0245,F,19.09759237979205,13.794,27.771,"72.229
"
hind,left,2015xii18,164,0246,M,23.69135377196004,17.194,27.425,"72.575
"
hind,left,2015xii18,164,0247,F,24.051052544339466,17.412,27.604,"72.396
"
hind,left,2015xii18,164,0248,M,24.88713160034772,17.75,28.678,"71.322
"
hind,left,2015xii18,164,0249,F,33.36438953071698,23.277,30.234,"69.76599999999999
"
hind,left,2015xii18,164,0250,M,28.433581296493095,20.067,29.425,"70.575
"
hind,left,2015xii18,164,0251,M,12.659572960795703,8.935,29.421,"70.57900000000001
"
hind,left,2015xii18,164,0254,F,12.296344330064036,9.102,25.978,"74.02199999999999
"
hind,left,2015xii18,164,0255,F,25.3273380277707,17.912,29.278,"70.72200000000001
"
hind,left,2015xii18,164,0259,F,17.126707621532162,12.211,28.702,"71.298
"
hind,left,2015xii18,164,0260,M,23.08024278872926,16.579,28.168,"71.832
"
hind,left,2015xii18,164,0261,F,14.302852758596638,10.253,28.315,"71.685
"
hind,left,2015xii19,164,0269,M,19.760351673284177,13.935,29.48,"70.52
"
hind,left,2015xii19,164,0271,F,10.823794229871805,7.886,27.142,"72.858
"
hind,left,2015xii19,164,0272,F,19.369816207875232,14.059,27.418,"72.582
"
hind,left,2015xii19,164,0273,M,15.357324588680951,10.865,29.252,"70.748
"
hind,left,2015xii19,164,0275,F,13.344245579198756,9.946,25.466,"74.53399999999999
"
hind,left,2015xii19,164,0277,F,16.880778519270066,11.813,30.021,"69.979
"
hind,left,2015xii19,164,0281,M,12.777706433799924,8.955,29.917,"70.083
"
hind,left,2015xii19,164,0282,F,23.446637166882457,16.479,29.717,"70.283
"
hind,left,2015xii19,164,0285,F,6.454982243576351,4.635,28.195,"71.805
"
hind,left,2015xii19,164,0286,F,13.793872798516308,9.892,28.287,"71.713
"
hind,left,2015xii19,164,0291,M,12.413267779239664,8.963,27.795,"72.205
"
hind,left,2015xii19,164,0299,M,13.775460139899351,9.827,28.663,"71.337
"
hind,left,2015xii21,164,0304,F,31.43733209558771,22.351,28.903,"71.09700000000001
"
hind,left,2015xii21,164,0305,M,17.94637374633281,13.152,26.715,"73.285
"
hind,left,2015xii21,164,0306,M,15.515151515151517,10.752,30.7,"69.3
"
hind,left,2015xii21,164,0307,M,22.06005128510943,14.797,32.924,"67.076
"
hind,left,2015xii21,164,0313,F,14.74987687328502,10.482,28.935,"71.065
"
hind,left,2015xii21,164,0315,M,19.694833386846845,14.108,28.367,"71.633
"
hind,left,2015xii21,164,0318,F,6.4949222560100965,4.528,30.284,"69.71600000000001
"
hind,left,2015xii21,164,0319,M,11.321299222255892,7.846,30.697,"69.303
"
hind,left,2015xii21,164,0328,F,15.904946194645916,11.425,28.167,"71.833
"
hind,left,2015xii21,164,0329,M,21.173498353582374,14.918,29.544,"70.456
"
hind,left,2015xii21,164,0330,F,9.141375140238662,6.274,31.367,"68.633
"
hind,left,2015xii21,164,0334,F,19.024403833296187,13.658,28.208,"71.792
"
hind,left,2015xii21,164,0335,M,9.664567536306388,6.768,29.971,"70.029
"
hind,left,2015xii21,164,0336,F,18.237588307957083,13.14,27.951,"72.049
"
hind,left,2015xii21,164,0342,M,20.066306306306306,13.921,30.625,"69.375
"
hind,left,2015xii21,164,0343,M,14.88043893264703,10.523,29.283,"70.717
"
hind,left,2015xii21,164,0345,F,21.500930894754134,15.706,26.952,"73.048
"
hind,left,2015xii21,164,0348,F,16.210401467404047,11.754,27.491,"72.509
"
hind,left,2015xii21,164,0350,F,9.551821128228559,6.69,29.961,"70.039
"
hind,left,2015xii22,164,0359,M,16.16955358400225,11.482,28.99,"71.01
"
hind,left,2015xii22,164,0361,M,20.08212804126023,14.329,28.648,"71.352
"
hind,left,2015xii22,164,0367,F,18.577231185828726,13.172,29.096,"70.904
"
hind,left,2015xii22,164,0369,M,24.286476768357772,17.291,28.804,"71.196
"
hind,left,2015xii22,164,0370,F,20.702344797395277,15.133,26.902,"73.098
"
hind,left,2015xii22,164,0371,M,23.744058095541664,17.133,27.843,"72.157
"
hind,left,2015xii22,164,0373,F,31.623907286653946,22.212,29.762,"70.238
"
hind,left,2015xii22,164,0376,M,13.344248874334832,9.454,29.153,"70.84700000000001
"
hind,left,2015xii22,164,0377,F,11.167208625705973,7.83,29.884,"70.116
"
hind,left,2015xii22,164,0381,M,20.75181235480169,14.828,28.546,"71.45400000000001
"
hind,left,2015xii22,164,0384,M,19.62315713772024,13.643,30.475,"69.525
"
hind,left,2015xii22,164,0385,F,7.305866769689276,5.295,27.524,"72.476
"
hind,left,2015xii22,164,0388,M,9.139558402157425,6.507,28.804,"71.196
"
hind,left,2015xii22,164,0389,M,17.387532358497165,12.426,28.535,"71.465
"
hind,left,2015xii22,164,0390,M,11.549012567324954,8.041,30.375,"69.625
"
hind,left,2015xii22,164,0391,M,14.92440990292062,10.869,27.173,"72.827
"
hind,left,2015xii22,164,0392,M,17.10090954665903,11.939,30.185,"69.815
"
hind,left,2015xii22,164,0393,M,15.086716594402837,10.717,28.964,"71.036
"
hind,left,2015xii22,164,0396,F,24.246724100485046,16.746,30.935,"69.065
"
hind,left,2015xii22,164,0398,F,9.636014226709499,6.719,30.272,"69.72800000000001
"
hind,left,2015xii22,164,0403,F,27.34540911930044,19.701,27.955,"72.045
"
hind,left,2015xii22,164,0407,F,10.728118295825952,7.451,30.547,"69.453
"
hind,left,2015xii22,164,0410,F,25.79886003455265,18.965,26.489,"73.511
"
hind,left,2015xii22,164,0413,M,14.151625614309538,9.589,32.241,"67.759
"
hind,left,2015xii22,164,402,M,16.851254531441782,11.807,29.934,"70.066
"
hind,left,2015xii23,164,0419,M,26.462827875213407,18.755,29.127,"70.873
"
hind,left,2015xii23,164,0423,M,11.898358796935646,8.185,31.209,"68.791
"
hind,left,2015xii23,164,0424,F,26.09071858311363,19.298,26.035,"73.965
"
hind,left,2015xii23,164,0427,M,7.907284007352941,5.506,30.368,"69.632
"
hind,left,2015xii23,164,0429,F,12.726690252667355,9.137,28.206,"71.794
"
hind,left,2015xii23,164,0433,F,23.858305544565653,16.885,29.228,"70.77199999999999
"
hind,left,2015xii23,164,0436,F,20.814022078031517,14.82,28.798,"71.202
"
hind,left,2015xii23,164,0438,M,19.68913357802247,14.162,28.072,"71.928
"
hind,left,2015xii23,164,0439,M,22.546177420690796,16.332,27.562,"72.438
"
hind,left,2015xii23,164,0440,F,14.918493687653756,11.037,26.018,"73.982
"
hind,left,2015xii28,164,0479,F,9.296517274871654,6.7,27.93,"72.07
"
hind,left,2015xii28,164,0481,M,16.49217654967247,11.531,30.082,"69.918
"
hind,left,2015xii28,164,0483,M,13.53385639493568,9.332,31.047,"68.953
"
hind,left,2015xii28,164,0485,F,19.172991214455568,13.465,29.771,"70.229
"
hind,left,2015xii28,164,0487,F,17.113965564361845,12.524,26.82,"73.18
"
hind,left,2015xii28,164,480,M,22.204572944142463,15.237,31.379,"68.621
"
hind,left,2015xii30,164,0495,M,17.124290812916804,12.043,29.673,"70.327
"
hind,right,2015xii16,164,0119,M,15.388392126523145,10.343,32.787,"67.213
"
hind,right,2015xii17,164,0171,F,22.188258939787286,15.897,28.354,"71.646
"
hind,right,2015xii17,164,0172,F,2.5212499486716218,1.842,26.941,"73.059
"
hind,right,2015xii17,164,0173,M,16.558331449242594,11.718,29.232,"70.768
"
hind,right,2015xii17,164,0175,M,22.25055291813994,15.795,29.013,"70.987
"
hind,right,2015xii17,164,0179,M,27.80138702398915,20.084,27.759,"72.241
"
hind,right,2015xii17,164,0187,F,12.375336784641211,8.773,29.109,"70.89099999999999
"
hind,right,2015xii17,164,0189,M,13.157300197684272,9.318,29.18,"70.82
"
hind,right,2015xii17,164,0195,F,21.475269460263956,15.8,26.427,"73.57300000000001
"
hind,right,2015xii17,164,0197,M,18.4543966587651,13.079,29.128,"70.872
"
hind,right,2015xii17,164,0203,M,21.317034484644626,15.59,26.866,"73.134
"
hind,right,2015xii17,164,0207,F,14.45754047145697,10.181,29.58,"70.42
"
hind,right,2015xii17,164,0212,F,30.188247738025474,21.12,30.039,"69.961
"
hind,right,2015xii17,164,0213,M,15.121784267868346,10.604,29.876,"70.124
"
hind,right,2015xii17,164,0218,M,17.134799125129504,11.908,30.504,"69.496
"
hind,right,2015xii17,164,0222,M,28.00118607212448,19.831,29.178,"70.822
"
hind,right,2015xii17,164,0223,M,23.389293457112675,16.83,28.044,"71.956
"
hind,right,2015xii17,164,0225,M,15.650971425441899,11.431,26.963,"73.037
"
hind,right,2015xii17,164,0226,F,16.56545489837229,11.948,27.874,"72.126
"
hind,right,2015xii17,164,0227,M,15.307265660659205,11.067,27.701,"72.299
"
hind,right,2015xii17,164,0228,M,20.17241379310345,14.859,26.34,"73.66
"
hind,right,2015xii17,164,0230,F,24.215693149148024,17.267,28.695,"71.305
"
hind,right,2015xii17,164,201,M,17.768093162820605,12.435,30.015,"69.985
"
hind,right,2015xii18,164,0236,M,16.054739178058806,11.286,29.703,"70.297
"
hind,right,2015xii18,164,0237,F,24.597978325178406,17.545,28.673,"71.327
"
hind,right,2015xii18,164,0240,M,23.86362026715016,16.847,29.403,"70.59700000000001
"
hind,right,2015xii18,164,0241,F,11.714448723434602,8.213,29.89,"70.11
"
hind,right,2015xii18,164,0256,M,31.40029542097489,21.258,32.3,"67.7
"
hind,right,2015xii18,164,0257,F,13.151164926459161,9.308,29.223,"70.777
"
hind,right,2015xii18,164,0258,F,31.83129982569935,22.28,30.006,"69.994
"
hind,right,2015xii18,164,0262,F,17.484477406002068,12.165,30.424,"69.576
"
hind,right,2015xii18,164,0263,M,17.505629507168713,12.283,29.834,"70.166
"
hind,right,2015xii19,164,0276,M,19.348677974733686,13.677,29.313,"70.687
"
hind,right,2015xii19,164,0278,F,25.312645724702193,17.913,29.233,"70.767
"
hind,right,2015xii19,164,0283,M,16.356738344802757,11.813,27.779,"72.221
"
hind,right,2015xii19,164,0289,F,12.254616415215235,8.415,31.332,"68.668
"
hind,right,2015xii19,164,0290,M,22.063725019545448,16.086,27.093,"72.907
"
hind,right,2015xii19,164,0292,F,12.98735149669383,9.467,27.106,"72.894
"
